id,nome_evento,marca_A,marca_B,marca_C,tipo_evento,data
59,When Pigs Have Wings,257,171,101,Rock,08/04/2019
60,"Hit List, The",114,236,127,Rock,11/25/2019
61,Opposing Force,113,202,197,Hip hop,04/04/2019
62,Leviathan,202,318,239,Hip hop,12/12/2019
63,The Inner Circle,148,268,154,Hip hop,05/24/2019
64,Olympus Has Fallen,147,276,139,Reggae,03/03/2019
65,Headfirst,118,223,142,Rock,04/08/2019
66,Nell,117,288,66,Reggae,09/10/2019
67,Dark City,313,179,70,Reggae,05/26/2019
68,"Slave of Love, A (Raba lyubvi)",112,197,92,Rock,11/26/2019
69,Belizaire the Cajun,214,299,86,Hip hop,08/01/2019
70,"Owl and the Pussycat, The",130,172,174,Reggae,04/29/2019
71,Ginger Snaps Back: The Beginning,199,160,247,Reggae,01/03/2019
72,Pawn Shop Chronicles,130,237,216,Reggae,02/09/2019
73,Missing William,177,218,125,Hip hop,02/24/2019
74,Sky High,167,158,229,Hip hop,01/26/2019
75,Bomb It,331,204,82,Reggae,12/26/2019
76,Luther,146,303,142,Rock,11/14/2019
77,Billy Liar,292,225,125,Rock,10/25/2019
78,"Little Romance, A",316,264,206,Rock,04/02/2019
79,"Burglars, The (Le casse)",106,208,124,Reggae,12/08/2019
80,Avenger ,164,153,200,Hip hop,09/26/2019
81,Intolerance: Love's Struggle Throughout the Ages,305,281,60,Reggae,03/12/2019
82,Fawlty Towers (1975-1979),155,233,62,Rock,04/08/2019
83,Beautiful Girl,322,315,62,Reggae,01/22/2019
84,"Frozen Ghost, The",113,278,59,Rock,03/31/2019
85,Ruby in Paradise,190,284,173,Hip hop,04/30/2019
86,Gremlins,164,304,229,Hip hop,08/14/2019
87,Child of God,199,203,80,Hip hop,11/15/2019
88,"Last Man, The",326,264,162,Hip hop,04/26/2019
89,Rock 'N' Roll High School,248,201,143,Reggae,08/25/2019
90,Between Two Worlds,225,270,223,Hip hop,09/22/2019
91,Summer School,165,226,61,Hip hop,05/15/2019
92,"China Lake Murders, The",194,194,139,Reggae,09/14/2019
93,Kidnap Syndicate,152,188,97,Hip hop,01/16/2019
94,That Man from Rio,204,266,93,Rock,05/18/2019
95,Blood into Wine,185,324,210,Rock,10/05/2019
96,"Pacifier, The",299,312,226,Rock,02/17/2019
97,The Conrad Boys,312,292,214,Reggae,07/28/2019
98,Looney Tunes: Back in Action,166,287,143,Hip hop,12/05/2019
99,Youth of the Beast (Yaju no seishun),260,256,177,Reggae,06/26/2019
100,"Danger! 50,000 Zombies",297,185,172,Reggae,02/19/2019
